,name,text,url,follower_num
1520,jolly texting 5sos🎄,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/936601664227823617/vVrL3k0K_normal.jpg,10768
641,Janet Johnson,RT @DeborahVonBrod: Real POTUS Barack Obama in Hawaii yesterday. OMG what a difference from orange con Trump POS. @JackieFarnham https://t.…,https://pbs.twimg.com/profile_images/937076857752752128/EhEvvZ-Y_normal.jpg,10203
1925,🌻,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/926361194767663104/zIfgy_2p_normal.jpg,10013
1236,Carol Forden,What's infuriating is the media running with a Bill O'Reilly made up story and giving it credibility @jonathanalter… https://t.co/exonS6EzzS,https://pbs.twimg.com/profile_images/773989012587642881/tHUclg9W_normal.jpg,9775
1620,CJC,RT @trumpology: The gravity of what has taken place while Americans went about their daily responsibilities is sobering. It makes me grieve…,https://pbs.twimg.com/profile_images/858009624552800256/qZzXhHBL_normal.jpg,9740
1580,CJC,"RT @Debradelai: The reference was to Obama arming ISIS and dismantling the FBI anti-terror unit, genius.

A clear case of the moron who thi…",https://pbs.twimg.com/profile_images/858009624552800256/qZzXhHBL_normal.jpg,9740
1867,M'Lord Gregg Hens⭕️n,Except this doesn’t detail all of Obama’s vacations. Are you thick? https://t.co/3feyw1wECw,https://pbs.twimg.com/profile_images/805965778617008128/_MgCV90v_normal.jpg,9224
1849,Mondia🦄🌈🌹💙🎀🌟🐈,"RT @tonyposnanski: In the final holiday installment of PETTY AF news...

Barack Obama’s “Merry Christmas” tweet that he posted six hours ag…",https://pbs.twimg.com/profile_images/820897755887439872/bzWVt_ga_normal.jpg,9142
924,Déplorable Espécial,"RT @BEP0007: @sahouraxo Obama was the MOST scandalous President we ever had. IRS,FBI,CIA corruption...Hillary,Benghazi, pay to play,Uranium…",https://pbs.twimg.com/profile_images/777835870678233088/mUngGoxw_normal.jpg,9079
1638,Southern Belle,"RT @GrizzleMeister: Merry Christmas Barack from all the passengers on the Trump Train who will patiently wait for the indictments, arrests,…",https://pbs.twimg.com/profile_images/935945565703147520/I95KqEr4_normal.jpg,8885
566,Dangerous Deplorable,"RT @RealTT2020: @BarackObama @_thegingerjesus THANK YOU OBAMA!

I will not pretend the hard times are over. Difficult days lie ahead. More…",https://pbs.twimg.com/profile_images/919939490721841153/8yF9R0Fq_normal.jpg,8877
1319,Boogie,RT @kylegriffin1: Bold move for Obama to say Merry Christmas after banning it for so many years. https://t.co/HfAPkEYp6x,https://pbs.twimg.com/profile_images/939083668198391808/E-TfeNzq_normal.jpg,8821
502,™Marcus,It's so wild that Trump continues to say that Obama didn't say Merry Christmas while in office. https://t.co/dqZdsLgMK3,https://pbs.twimg.com/profile_images/941508411774177280/6GtF_d1k_normal.jpg,8781
